AGE_BUCKET,DAY_OF_WEEK,MORNING,LATE,sum,percentage
5,TUESDAY,1,0,184,69.17293233
5,TUESDAY,1,1,82,30.82706767
5,WEDNESDAY,0,0,157,68.26086957
5,WEDNESDAY,0,1,73,31.73913043
5,WEDNESDAY,1,0,148,60.16260163
5,WEDNESDAY,1,1,98,39.83739837
6,FRIDAY,0,0,177,68.60465116
6,FRIDAY,0,1,81,31.39534884
6,FRIDAY,1,0,250,67.38544474
6,FRIDAY,1,1,121,32.61455526
6,MONDAY,0,0,188,63.08724832
6,MONDAY,0,1,110,36.91275168
6,MONDAY,1,0,258,64.66165414
6,MONDAY,1,1,141,35.33834586
6,SATURDAY,0,0,23,50
6,SATURDAY,0,1,23,50
6,SATURDAY,1,0,13,56.52173913
6,SATURDAY,1,1,10,43.47826087
6,SUNDAY,0,0,6,50
6,SUNDAY,0,1,6,50
6,SUNDAY,1,0,7,63.63636364
6,SUNDAY,1,1,4,36.36363636
6,THURSDAY,0,0,267,63.27014218
6,THURSDAY,0,1,155,36.72985782
6,THURSDAY,1,0,242,59.60591133
6,THURSDAY,1,1,164,40.39408867
6,TUESDAY,0,0,258,64.17910448
6,TUESDAY,0,1,144,35.82089552
6,TUESDAY,1,0,233,68.32844575
6,TUESDAY,1,1,108,31.67155425
6,WEDNESDAY,0,0,232,67.83625731
6,WEDNESDAY,0,1,110,32.16374269
6,WEDNESDAY,1,0,191,61.61290323
6,WEDNESDAY,1,1,119,38.38709677
7,FRIDAY,0,0,85,85
7,FRIDAY,0,1,15,15
7,FRIDAY,1,0,70,59.82905983
7,FRIDAY,1,1,47,40.17094017
7,MONDAY,0,0,61,71.76470588
7,MONDAY,0,1,24,28.23529412
7,MONDAY,1,0,95,73.07692308
7,MONDAY,1,1,35,26.92307692
7,SATURDAY,0,0,6,42.85714286
7,SATURDAY,0,1,8,57.14285714
7,SATURDAY,1,0,3,27.27272727
7,SATURDAY,1,1,8,72.72727273
7,SUNDAY,0,0,3,75
7,SUNDAY,0,1,1,25
7,SUNDAY,1,0,2,66.66666667
7,SUNDAY,1,1,1,33.33333333
7,THURSDAY,0,0,90,59.21052632
7,THURSDAY,0,1,62,40.78947368
7,THURSDAY,1,0,76,61.78861789
7,THURSDAY,1,1,47,38.21138211
7,TUESDAY,0,0,94,67.14285714
7,TUESDAY,0,1,46,32.85714286
7,TUESDAY,1,0,80,62.01550388
7,TUESDAY,1,1,49,37.98449612
7,WEDNESDAY,0,0,90,66.17647059
7,WEDNESDAY,0,1,46,33.82352941
7,WEDNESDAY,1,0,57,57.57575758
7,WEDNESDAY,1,1,42,42.42424242
